mlbId,status,title,price,imageStatus,format,path,exists,width,height,issue
"MLB3963871285","pending-review","Modulo Rele 1 Canal Led Indicador Para Arduino Pi Pic 5v/10a","R$ 25,78","verified","avif","public/products/MLB3963871285/optimized/main.avif","yes","500","395",""
"MLB3963871285","pending-review","Modulo Rele 1 Canal Led Indicador Para Arduino Pi Pic 5v/10a","R$ 25,78","verified","webp","public/products/MLB3963871285/optimized/main.webp","yes","500","395",""
"MLB3963871285","pending-review","Modulo Rele 1 Canal Led Indicador Para Arduino Pi Pic 5v/10a","R$ 25,78","verified","jpg","public/products/MLB3963871285/optimized/main.jpg","yes","500","395",""
"MLB5268554980","published","Fonte De Alimentação Hlk-pm01 5v/3w Hi-link  Módulo Ac/dc","R$ 33,00","verified","avif","public/products/MLB5268554980/optimized/main.avif","yes","500","433",""
"MLB5268554980","published","Fonte De Alimentação Hlk-pm01 5v/3w Hi-link  Módulo Ac/dc","R$ 33,00","verified","webp","public/products/MLB5268554980/optimized/main.webp","yes","500","433",""
"MLB5268554980","published","Fonte De Alimentação Hlk-pm01 5v/3w Hi-link  Módulo Ac/dc","R$ 33,00","verified","jpg","public/products/MLB5268554980/optimized/main.jpg","yes","500","433",""
"MLB4669479535","published","Kit 100 Barra De Pinos - Fêmea - 1x15 - 2,54mm - Pic/arduino Preto","R$ 118,00","verified","avif","public/products/MLB4669479535/optimized/main.avif","yes","400","500",""
"MLB4669479535","published","Kit 100 Barra De Pinos - Fêmea - 1x15 - 2,54mm - Pic/arduino Preto","R$ 118,00","verified","webp","public/products/MLB4669479535/optimized/main.webp","yes","400","500",""
"MLB4669479535","published","Kit 100 Barra De Pinos - Fêmea - 1x15 - 2,54mm - Pic/arduino Preto","R$ 118,00","verified","jpg","public/products/MLB4669479535/optimized/main.jpg","yes","400","500",""
"MLB6747664364","pending-review","Gerador De Função Minipa 2mhz Mfg-4202a Portátil Manual 2kg","R$ 852,30","pending-review","avif","public/products/MLB6747664364/optimized/main.avif","no","","",""
"MLB6747664364","pending-review","Gerador De Função Minipa 2mhz Mfg-4202a Portátil Manual 2kg","R$ 852,30","pending-review","webp","public/products/MLB6747664364/optimized/main.webp","no","","",""
"MLB6747664364","pending-review","Gerador De Função Minipa 2mhz Mfg-4202a Portátil Manual 2kg","R$ 852,30","pending-review","jpg","public/products/MLB6747664364/optimized/main.jpg","no","","",""
"MLB5268502876","published","Kit 15 Conectores Split Bolt 16mm Fendido P/emenda De Cabos","R$ 75,90","verified","avif","public/products/MLB5268502876/optimized/main.avif","yes","500","435",""
"MLB5268502876","published","Kit 15 Conectores Split Bolt 16mm Fendido P/emenda De Cabos","R$ 75,90","verified","webp","public/products/MLB5268502876/optimized/main.webp","yes","500","435",""
"MLB5268502876","published","Kit 15 Conectores Split Bolt 16mm Fendido P/emenda De Cabos","R$ 75,90","verified","jpg","public/products/MLB5268502876/optimized/main.jpg","yes","500","435",""
"MLB5268502882","published","Kit15 Conector Parafuso Fendido Emenda Cabos Split Bolt 16mm","R$ 75,90","verified","avif","public/products/MLB5268502882/optimized/main.avif","yes","487","500",""
"MLB5268502882","published","Kit15 Conector Parafuso Fendido Emenda Cabos Split Bolt 16mm","R$ 75,90","verified","webp","public/products/MLB5268502882/optimized/main.webp","yes","487","500",""
"MLB5268502882","published","Kit15 Conector Parafuso Fendido Emenda Cabos Split Bolt 16mm","R$ 75,90","verified","jpg","public/products/MLB5268502882/optimized/main.jpg","yes","487","500",""
"MLB5272537202","published","Kit 10x Antena Gps 1575.42 Mhz Com Suporte A 3v-5v","R$ 299,80","verified","avif","public/products/MLB5272537202/optimized/main.avif","yes","500","412",""
"MLB5272537202","published","Kit 10x Antena Gps 1575.42 Mhz Com Suporte A 3v-5v","R$ 299,80","verified","webp","public/products/MLB5272537202/optimized/main.webp","yes","500","412",""
"MLB5272537202","published","Kit 10x Antena Gps 1575.42 Mhz Com Suporte A 3v-5v","R$ 299,80","verified","jpg","public/products/MLB5272537202/optimized/main.jpg","yes","500","412",""
"MLB5375724278","pending-review","Kit 5x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","R$ 592,00","verified","avif","public/products/MLB5375724278/optimized/main.avif","yes","500","500",""
"MLB5375724278","pending-review","Kit 5x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","R$ 592,00","verified","webp","public/products/MLB5375724278/optimized/main.webp","yes","500","500",""
"MLB5375724278","pending-review","Kit 5x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","R$ 592,00","verified","jpg","public/products/MLB5375724278/optimized/main.jpg","yes","500","500",""
"MLB3964934307","published","Kit Com 9 Sensores De Corrente Ac Zmct123a Não Invasivos","R$ 129,90","verified","avif","public/products/MLB3964934307/optimized/main.avif","yes","500","457",""
"MLB3964934307","published","Kit Com 9 Sensores De Corrente Ac Zmct123a Não Invasivos","R$ 129,90","verified","webp","public/products/MLB3964934307/optimized/main.webp","yes","500","457",""
"MLB3964934307","published","Kit Com 9 Sensores De Corrente Ac Zmct123a Não Invasivos","R$ 129,90","verified","jpg","public/products/MLB3964934307/optimized/main.jpg","yes","500","457",""
"MLB6747662378","pending-review","Fonte De Alimentação Dc Variável Bancada Hikari 3a Hf-3203s","R$ 755,30","verified","avif","public/products/MLB6747662378/optimized/main.avif","yes","484","500",""
"MLB6747662378","pending-review","Fonte De Alimentação Dc Variável Bancada Hikari 3a Hf-3203s","R$ 755,30","verified","webp","public/products/MLB6747662378/optimized/main.webp","yes","484","500",""
"MLB6747662378","pending-review","Fonte De Alimentação Dc Variável Bancada Hikari 3a Hf-3203s","R$ 755,30","verified","jpg","public/products/MLB6747662378/optimized/main.jpg","yes","484","500",""
"MLB4669505471","published","Filtro Supressor De Ruídos Eicos K-8 Para Contatores 220v","R$ 98,00","verified","avif","public/products/MLB4669505471/optimized/main.avif","yes","500","500",""
"MLB4669505471","published","Filtro Supressor De Ruídos Eicos K-8 Para Contatores 220v","R$ 98,00","verified","webp","public/products/MLB4669505471/optimized/main.webp","yes","500","500",""
"MLB4669505471","published","Filtro Supressor De Ruídos Eicos K-8 Para Contatores 220v","R$ 98,00","verified","jpg","public/products/MLB4669505471/optimized/main.jpg","yes","500","500",""
"MLB5375622238","pending-review","Kit 20x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","R$ 2.698,00","verified","avif","public/products/MLB5375622238/optimized/main.avif","yes","500","500",""
"MLB5375622238","pending-review","Kit 20x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","R$ 2.698,00","verified","webp","public/products/MLB5375622238/optimized/main.webp","yes","500","500",""
"MLB5375622238","pending-review","Kit 20x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","R$ 2.698,00","verified","jpg","public/products/MLB5375622238/optimized/main.jpg","yes","500","500",""
"MLB4669565005","pending-review","10x Varistor 14k 250vac (s14d391 / 14d391k250vac) Uso Geral","R$ 110,00","pending-review","avif","public/products/MLB4669565005/optimized/main.avif","no","","",""
"MLB4669565005","pending-review","10x Varistor 14k 250vac (s14d391 / 14d391k250vac) Uso Geral","R$ 110,00","pending-review","webp","public/products/MLB4669565005/optimized/main.webp","no","","",""
"MLB4669565005","pending-review","10x Varistor 14k 250vac (s14d391 / 14d391k250vac) Uso Geral","R$ 110,00","pending-review","jpg","public/products/MLB4669565005/optimized/main.jpg","no","","",""
"MLB4669565379","published","3x Filtro Supressor De Ruídos Eicos K-8 Para Contatores 220v","R$ 98,00","verified","avif","public/products/MLB4669565379/optimized/main.avif","yes","500","500",""
"MLB4669565379","published","3x Filtro Supressor De Ruídos Eicos K-8 Para Contatores 220v","R$ 98,00","verified","webp","public/products/MLB4669565379/optimized/main.webp","yes","500","500",""
"MLB4669565379","published","3x Filtro Supressor De Ruídos Eicos K-8 Para Contatores 220v","R$ 98,00","verified","jpg","public/products/MLB4669565379/optimized/main.jpg","yes","500","500",""
"MLB6747664922","published","Sensor De Corrente Ac Não Invasivo Ac Sct-013 100a 50ma","R$ 63,00","verified","avif","public/products/MLB6747664922/optimized/main.avif","yes","500","438",""
"MLB6747664922","published","Sensor De Corrente Ac Não Invasivo Ac Sct-013 100a 50ma","R$ 63,00","verified","webp","public/products/MLB6747664922/optimized/main.webp","yes","500","438",""
"MLB6747664922","published","Sensor De Corrente Ac Não Invasivo Ac Sct-013 100a 50ma","R$ 63,00","verified","jpg","public/products/MLB6747664922/optimized/main.jpg","yes","500","438",""
"MLB5288925380","published","3x Kit Esp32 Sim800l Módulo Sem Fio Gprs T-call + Antena","R$ 382,00","verified","avif","public/products/MLB5288925380/optimized/main.avif","yes","500","500",""
