mlbId,title,format,distPath,exists,width,height,issue
"MLB3948176139","Kit 50 Conectores Fendido 16mm Split Bolt Cobre","jpg","dist/products/MLB3948176139/optimized/main.jpg","yes","500","435",""
"MLB4832394051","Kit 5 Mini fonte Chaveada Hi-link HLK-PM01 5 V / 3 W","avif","dist/products/MLB4832394051/optimized/main.avif","yes","500","486",""
"MLB4832394051","Kit 5 Mini fonte Chaveada Hi-link HLK-PM01 5 V / 3 W","webp","dist/products/MLB4832394051/optimized/main.webp","yes","500","486",""
"MLB4832394051","Kit 5 Mini fonte Chaveada Hi-link HLK-PM01 5 V / 3 W","jpg","dist/products/MLB4832394051/optimized/main.jpg","yes","500","486",""
"MLB4669465391","Kit C/3 Sensor de Corrente AC Não Invasivosct-013 100 A 50 mA","avif","dist/products/MLB4669465391/optimized/main.avif","yes","500","438",""
"MLB4669465391","Kit C/3 Sensor de Corrente AC Não Invasivosct-013 100 A 50 mA","webp","dist/products/MLB4669465391/optimized/main.webp","yes","500","438",""
"MLB4669465391","Kit C/3 Sensor de Corrente AC Não Invasivosct-013 100 A 50 mA","jpg","dist/products/MLB4669465391/optimized/main.jpg","yes","500","438",""
"MLB4669463663","10x Mini fonte Chaveada Hi-link HLK-PM01 5 V / 3 W","avif","dist/products/MLB4669463663/optimized/main.avif","yes","500","436",""
"MLB4669463663","10x Mini fonte Chaveada Hi-link HLK-PM01 5 V / 3 W","webp","dist/products/MLB4669463663/optimized/main.webp","yes","500","436",""
"MLB4669463663","10x Mini fonte Chaveada Hi-link HLK-PM01 5 V / 3 W","jpg","dist/products/MLB4669463663/optimized/main.jpg","yes","500","436",""
"MLB4669463945","Kit 10un Mini fonte Hi-link HLK-PM01 110-220vac - 5vdc","avif","dist/products/MLB4669463945/optimized/main.avif","yes","500","436",""
"MLB4669463945","Kit 10un Mini fonte Hi-link HLK-PM01 110-220vac - 5vdc","webp","dist/products/MLB4669463945/optimized/main.webp","yes","500","436",""
