mlbId,title,quantity,condition,category,price,marketplaceUrl,imageStatus,notes
"MLB3964028995","Kit Com 400 Resistores 100k Ohms 5% Filme De Carbono","400","novo","Componentes Eletr?nicos","51.8","https://produto.mercadolivre.com.br/MLB-3964028995-kit-com-400-resistores-100k-ohms-5-filme-de-carbono_JM","needs-review","Imagem aguardando validao visual por an?ncio exato MLB; placeholder institucional usado no site p?blico."
"MLB3964934307","Kit Com 9 Sensores De Corrente Ac Zmct123a Não Invasivos","9","novo","Sensores e Medio","129.9","https://produto.mercadolivre.com.br/MLB-3964934307-kit-com-9-sensores-de-corrente-ac-zmct123a-nao-invasivos_JM","needs-review","Imagem aguardando validao visual por an?ncio exato MLB; placeholder institucional usado no site p?blico."
"MLB4051929221","Kit 20x Módulos Esp32 Ttgo T-call Sim800l + Antena","20","novo","Placas e Microcontroladores","1980","https://produto.mercadolivre.com.br/MLB-4051929221-kit-20x-modulos-esp32-ttgo-t-call-sim800l-antena_JM","needs-review","Imagem aguardando validao visual por an?ncio exato MLB; placeholder institucional usado no site p?blico."
"MLB4051985849","Kit 10x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","10","novo","Placas e Microcontroladores","1259","https://produto.mercadolivre.com.br/MLB-4051985849-kit-10x-modulos-esp32-ttgo-t-call-sim800l-antena-novo_JM","needs-review","Imagem aguardando validao visual por an?ncio exato MLB; placeholder institucional usado no site p?blico."
"MLB4669463663","10x Mini Fonte Chaveada Hi-link Hlk-pm01 5v / 3w","10","novo","Fontes e Alimentao","298","https://produto.mercadolivre.com.br/MLB-4669463663-10x-mini-fonte-chaveada-hi-link-hlk-pm01-5v-3w_JM","needs-review","Imagem aguardando validao visual por an?ncio exato MLB; placeholder institucional usado no site p?blico."
"MLB4669463945","Kit 10un Mini Fonte Hi Link Hlk-pm01 110-220vac - 5vdc","10","novo","Fontes e Alimentao","255","https://produto.mercadolivre.com.br/MLB-4669463945-kit-10un-mini-fonte-hi-link-hlk-pm01-110-220vac-5vdc_JM","needs-review","Imagem aguardando validao visual por an?ncio exato MLB; placeholder institucional usado no site p?blico."
"MLB4669465391","Kit C/3 Sensor De Corrente Ac Não Invasivosct-013 100a 50ma","1","novo","Placas e Microcontroladores","138.3","https://produto.mercadolivre.com.br/MLB-4669465391-kit-c-3-sensor-de-corrente-ac-nao-invasivosct-013-100a-50ma_JM","needs-review","Imagem aguardando validao visual por an?ncio exato MLB; placeholder institucional usado no site p?blico."
"MLB4669465397","Sensor De Corrente Ac Não Invasivo Ac Sct-013 100a 50ma","1","novo","Placas e Microcontroladores","138.3","https://produto.mercadolivre.com.br/MLB-4669465397-sensor-de-corrente-ac-nao-invasivo-ac-sct-013-100a-50ma_JM","needs-review","Imagem aguardando validao visual por an?ncio exato MLB; placeholder institucional usado no site p?blico."
"MLB4669478861","40x Chave Micro Switch Kw1-103 15a 125vac / 16a 250vac","40","novo","Automao e Comando","214","https://produto.mercadolivre.com.br/MLB-4669478861-40x-chave-micro-switch-kw1-103-15a-125vac-16a-250vac_JM","needs-review","Imagem aguardando validao visual por an?ncio exato MLB; placeholder institucional usado no site p?blico."
"MLB4669479535","Kit 100 Barra De Pinos - Fêmea - 1x15 - 2,54mm - Pic/arduino","100","novo","Placas e Microcontroladores","118","https://produto.mercadolivre.com.br/MLB-4669479535-kit-100-barra-de-pinos-femea-1x15-2-54mm-pic-arduino_JM","needs-review","Imagem aguardando validao visual por an?ncio exato MLB; placeholder institucional usado no site p?blico."
"MLB4669503045","Sensor De Corrente Ac Não Invasivo Sct-013 100a 50ma","1","novo","Placas e Microcontroladores","63","https://produto.mercadolivre.com.br/MLB-4669503045-sensor-de-corrente-ac-nao-invasivo-sct-013-100a-50ma_JM","needs-review","Imagem aguardando validao visual por an?ncio exato MLB; placeholder institucional usado no site p?blico."
